[2025-05-15 19:41:22] [info] Загружено [36m1[0m задач в память
[2025-05-15 19:41:22] [info] Сброс выполняющихся и ошибочных задач в статус Pending...
[2025-05-15 19:41:22] [info] Сброшено [33m1[0m задач.
[2025-05-15 19:41:22] [info] Загружено [36m300[0m прокси в память
[2025-05-15 19:41:22] [info] Загружено [36m800[0m аккаунтов в память
[2025-05-15 19:42:04] [info] Twitch service иницилизирован для assstronavt
[2025-05-15 19:42:04] [info] Запускается Twitch-сервис для задачи 1 (URL: https://www.twitch.tv/assstronavt)
[2025-05-15 19:42:04] [info] Проверка онлайна стрима [36massstronavt[0m
[2025-05-15 19:43:38] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.187.173:1051
[2025-05-15 19:43:42] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.167.7:1051
[2025-05-15 19:43:45] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.35.113.140:1051
[2025-05-15 19:43:48] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.204.204:1051
[2025-05-15 19:43:50] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.189.81:1051
[2025-05-15 19:43:51] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.143.238:1051
[2025-05-15 19:43:53] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.57.126:1051
[2025-05-15 19:43:57] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.139.120:1051
[2025-05-15 19:44:00] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.34.248.5:1051
[2025-05-15 19:44:02] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@2.59.50.55:1051
[2025-05-15 19:44:04] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.14.223:1051
[2025-05-15 19:44:06] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.10.65:1051
[2025-05-15 19:44:07] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.15.90:1051
[2025-05-15 19:44:10] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.81.137.14:1051
[2025-05-15 19:44:14] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.86.0.54:1051
[2025-05-15 19:44:15] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.138.77:1051
[2025-05-15 19:44:19] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.193.212:1051
[2025-05-15 19:44:21] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.210.168:1051
[2025-05-15 19:44:24] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.87.252.181:1051
[2025-05-15 19:44:28] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.223.108:1051
[2025-05-15 19:44:31] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.56.211:1051
